Date,P
1961-01,1018.0277419354838
1961-02,1023.6246428571429
1961-03,1024.453870967742
1961-04,1010.609
1961-05,1014.7625806451613
1961-06,1016.168
1961-07,1016.0174193548387
1961-08,1018.0558064516129
1961-09,1018.0136666666666
1961-10,1016.0445161290323
1961-11,1014.9046666666667
1961-12,1017.3367741935483
1962-01,1019.233870967742
1962-02,1021.0064285714286
1962-03,1011.468064516129
1962-04,1014.0833333333334
1962-05,1014.9645161290323
1962-06,1020.644
1962-07,1016.0283870967743
1962-08,1016.9599999999999
1962-09,1017.0956666666666
1962-10,1022.1283870967742
1962-11,1015.5323333333333
1962-12,1017.8396774193548
1963-01,1022.2548387096774
1963-02,1013.2107142857143
1963-03,1016.4348387096774
1963-04,1013.2226666666667
1963-05,1015.9896774193548
1963-06,1013.3009999999999
1963-07,1017.8841935483871
1963-08,1012.0258064516129
1963-09,1017.6946666666666
1963-10,1021.8661290322581
1963-11,1010.038
1963-12,1022.1996774193548
1964-01,1033.0790322580644
1964-02,1018.4613793103449
1964-03,1014.921935483871
1964-04,1014.7313333333333
1964-05,1017.4651612903225
1964-06,1015.9563333333333
1964-07,1017.5622580645162
1964-08,1015.6403225806451
1964-09,1020.228
1964-10,1016.7806451612903
1964-11,1020.05
1964-12,1016.7035483870968
1965-01,1012.8751612903226
1965-02,1022.0867857142857
1965-03,1017.3232258064517
1965-04,1011.2206666666666
1965-05,1014.324193548387
1965-06,1014.727
1965-07,1013.1854838709677
1965-08,1016.0187096774193
1965-09,1013.766
1965-10,1022.95
1965-11,1011.2366666666666
1965-12,1008.345
1966-01,1016.814193548387
1966-02,1008.4135714285715
1966-03,1018.9432258064516
1966-04,1011.4833333333333
1966-05,1016.9764516129032
1966-06,1014.9016666666666
1966-07,1013.7167741935484
1966-08,1015.3248387096775
1966-09,1018.5356666666667
1966-10,1010.9316129032259
1966-11,1015.74
1966-12,1011.852258064516
1967-01,1020.611935483871
1967-02,1019.2107142857143
1967-03,1018.1596774193548
1967-04,1014.6886666666667
1967-05,1013.3535483870968
1967-06,1018.929
1967-07,1017.8112903225807
1967-08,1016.4612903225806
1967-09,1015.2406666666667
1967-10,1015.7306451612903
1967-11,1019.2546666666666
1967-12,1017.0248387096774
1968-01,1016.933870967742
1968-02,1014.4931034482759
1968-03,1016.2206451612903
1968-04,1016.1663333333333
1968-05,1015.2493548387097
1968-06,1016.169
1968-07,1017.9606451612902
1968-08,1013.4245161290322
1968-09,1014.965
1968-10,1020.2729032258064
1968-11,1016.7666666666667
1968-12,1014.3690322580645
1969-01,1017.021935483871
1969-02,1010.655357142857
1969-03,1013.8116129032258
1969-04,1015.1683333333333
1969-05,1013.0993548387097
1969-06,1013.9633333333334
1969-07,1019.87
1969-08,1015.156129032258
1969-09,1018.0466666666667
1969-10,1023.5448387096774
1969-11,1009.8173076923077
1969-12,1016.5253846153846
1970-01,1013.6836
1970-02,1009.6437500000001
1970-03,1011.6262499999999
1970-04,1013.735
1970-05,1014.0749999999999
1970-06,1017.0311111111112
1970-07,1014.9876666666667
1970-08,1015.4625806451613
1970-09,1019.4256666666666
1970-10,1018.8012903225806
1970-11,1015.1593333333333
1970-12,1022.7438709677419
1971-01,1015.8276666666666
1971-02,1019.8735714285714
1971-03,1015.2654838709677
1971-04,1012.3908
1971-05,1011.9890322580645
1971-06,1012.2763333333334
1971-07,1018.2470967741936
1971-08,1015.2509677419355
1971-09,1022.76
1971-10,1026.858064516129
1971-11,1014.6496666666667
1971-12,1026.8693548387098
1972-01,1017.8993548387097
1972-02,1013.9972413793103
1972-03,1015.1177419354839
1972-04,1011.4979999999999
1972-05,1013.0667741935483
1972-06,1014.932
1972-07,1017.1541935483871
1972-08,1017.726129032258
1972-09,1019.277
1972-10,1021.2522580645161
1972-11,1018.622
1972-12,1027.3848387096775
1973-01,1024.888064516129
1973-02,1015.2357142857143
