MESS_DATUM,P
2001-01-01,1011.28
2001-01-02,1004.09
2001-01-03,1009.08
2001-01-04,1007.53
2001-01-05,1001.47
2001-01-06,1002.43
2001-01-07,1013.56
2001-01-08,1014.59
2001-01-09,1017.47
2001-01-10,1016.27
2001-01-11,1020.71
2001-01-12,1027.92
2001-01-13,1034.5
2001-01-14,1034.48
2001-01-15,1029.09
2001-01-16,1026.67
2001-01-17,1022.81
2001-01-18,1023.84
2001-01-19,1024.26
2001-01-20,1025.6
2001-01-21,1026.75
2001-01-22,1015.5
2001-01-23,1009.83
2001-01-24,1005.65
2001-01-25,1008.75
2001-01-26,1008.17
2001-01-27,1000.4
2001-01-28,1004.53
2001-01-29,1015.38
2001-01-30,1022.32
2001-01-31,1023.2
2001-02-01,1025.17
2001-02-02,1020.85
2001-02-03,1009.1
2001-02-04,1005.88
2001-02-05,1002.8
2001-02-06,1008.48
2001-02-07,1008.32
2001-02-08,1003.85
2001-02-09,1014.13
2001-02-10,1034.0
2001-02-11,1038.58
2001-02-12,1029.53
2001-02-13,1028.58
2001-02-14,1033.39
2001-02-15,1032.72
2001-02-16,1028.72
2001-02-17,1032.22
2001-02-18,1036.35
2001-02-19,1033.58
2001-02-20,1028.47
2001-02-21,1023.34
2001-02-22,1011.71
2001-02-23,1002.99
2001-02-24,1008.85
2001-02-25,1012.55
2001-02-26,1009.24
2001-02-27,1003.65
2001-02-28,997.33
2001-03-01,997.27
2001-03-02,999.91
2001-03-03,994.02
2001-03-04,996.47
2001-03-05,1016.22
2001-03-06,1024.24
2001-03-07,1016.92
2001-03-08,1006.26
2001-03-09,1006.54
2001-03-10,1007.72
2001-03-11,1009.67
2001-03-12,1005.69
2001-03-13,1004.19
2001-03-14,1008.41
2001-03-15,1010.36
2001-03-16,1010.19
2001-03-17,1001.39
2001-03-18,1002.35
2001-03-19,1007.85
2001-03-20,1015.97
2001-03-21,1006.66
2001-03-22,998.8
2001-03-23,1005.96
2001-03-24,1001.44
2001-03-25,995.0
2001-03-26,1009.3
2001-03-27,1015.89
2001-03-28,1011.29
2001-03-29,1003.06
2001-03-30,1012.35
2001-03-31,1025.03
2001-04-01,1025.46
2001-04-02,1019.8
2001-04-03,1017.35
2001-04-04,1010.8
2001-04-05,1015.92
2001-04-06,1010.57
2001-04-07,1004.55
2001-04-08,1012.27
