Collection;Signal;TS_ST_C;ST_C;DS_ST_C;TS_ST_CT;ST_CT;DS_ST_CT;A_ST_C;A_ST_CT;A_ST_CTT;A_ST_N;TAG_THR;TAG_AC;TAG_PR;TAG_RE;TAG_F1;TG_dtw_m_ac;TG_dtw_m_pr;TG_dtw_m_re;TG_dtw_m_f1;TG_dtw_sum_ac;TG_dtw_sum_pr;TG_dtw_sum_rec;TG_dtw_sum_f1;TH_8_dtw_acc;TH_8_dtw_pr;TH_8_dtw_rec;TH_8_dtw_f1
artificialWithAnomaly;art_daily_flatmiddle;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;2;0,791;0,3636;1;0,5333;0,871;1;0,567;0,724;nan;nan;nan;nan;nan;nan;nan;nan
artificialWithAnomaly;art_daily_jumpsdown;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;8;0,6418;0,25;1;0,4;0,888;0,481;0,505;0,493;nan;nan;nan;nan;nan;nan;nan;nan
artificialWithAnomaly;art_daily_jumpsup;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;8;0,9552;0,7273;1;0,8421;0,802;1;0,388;0,559;nan;nan;nan;nan;nan;nan;nan;nan
artificialWithAnomaly;art_daily_nojump;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;8;0,6567;0,258;1;0,4103;0,813;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan
artificialWithAnomaly;art_increase_spike_density;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;0,9;0,9851;0,875;1;0,9333;0,931;0,672;0,602;0,635;nan;nan;nan;nan;nan;nan;nan;nan
artificialWithAnomaly;art_load_balancer_spikes;NO;YES;NO;NO;YES;NO;YES;YES;YES;YES;4;0,8507;0,4444;1;0,6153;0,864;0,895;0,637;0,744;nan;nan;nan;nan;nan;nan;nan;nan
realAWSCloudwatch;ec2_cpu_utilization_24ae8d;YES;NO;NO;YES;NO;NO;YES;YES;YES;NO;0,87;0,9851;0,8889;1;0,9412;0,719;0,299;0,5;0,314;nan;nan;nan;nan;nan;nan;nan;nan
realAWSCloudwatch;ec2_cpu_utilization_53ea38;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;8;0,1243;0,1212;1;0,2162;0,906;0,561;0,948;0,704;nan;nan;nan;nan;0,866;1;0,12;0,214
realAWSCloudwatch;ec2_cpu_utilization_5f5533;NO;NO;YES;NO;NO;YES;NO;NO;NO;NO;8,5;0,6418;0,1667;0,5;0,25;0,961;0,781;1;0,877;nan;nan;nan;nan;0,873;1;0,095;0,174
realAWSCloudwatch;ec2_cpu_utilization_77c1ca;YES;NO;NO;NO;YES;NO;YES;YES;YES;YES;1,5;0,9202;0,6667;1;0,8;0,817;0,317;0,565;0,406;nan;nan;nan;nan;0,801;0;0;nan
realAWSCloudwatch;ec2_cpu_utilization_825cc2;YES;NO;NO;NO;YES;NO;YES;YES;YES;NO;8;0,9851;0,875;1;0,8421;0,913;0,657;0,76;0,705;nan;nan;nan;nan;0,888;0,696;0,322;0,44
realAWSCloudwatch;ec2_cpu_utilization_ac20cd;NO;NO;YES;NO;NO;YES;NO;NO;NO;NO;8;0,9403;0,6363;1;0,7778;0,905;0,596;0,568;0,582;nan;nan;nan;nan;0,873;0,227;0,049;0,081
realAWSCloudwatch;ec2_cpu_utilization_c6585a;YES;NO;NO;YES;NO;NO;YES;YES;YES;NO;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
realAWSCloudwatch;ec2_cpu_utilization_fe7f93;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;8;0,8507;0,4286;0,3333;0,375;0,806;0,267;0,333;0,296;nan;nan;nan;nan;0,881;1;0,04;0,077
realAWSCloudwatch;ec2_disk_write_bytes_1ef3de;NO;YES;NO;NO;YES;NO;YES;YES;YES;YES;2,8;0,9743;0,8182;1;0,9;0,895;1;0,483;0,651;nan;nan;nan;nan;0,746;0,271;0,148;0,192
realAWSCloudwatch;ec2_disk_write_bytes_c0d644;YES;NO;NO;NO;YES;NO;YES;YES;YES;YES;7;0,8806;0,6666;0,4;0,5;0,606;0,173;0,333;0,228;nan;nan;nan;nan;0,806;0,31;0,065;0,107
realAWSCloudwatch;ec2_network_in_257a54;NO;YES;NO;YES;NO;NO;YES;YES;YES;YES;1,6;0,9231;0,8333;0,5;0,625;0,988;0,997;0,928;0,961;nan;nan;nan;nan;0,867;1;0,144;0,252
realAWSCloudwatch;ec2_network_in_5abac7;YES;NO;NO;NO;YES;NO;YES;YES;YES;YES;4;0,9231;0,8333;0,5;0,625;0,878;0,946;0,449;0,609;nan;nan;nan;nan;0,81;0,707;0,174;0,279
realAWSCloudwatch;elb_request_count_8c0756;YES;NO;NO;NO;YES;NO;YES;YES;YES;YES;8;0,5672;0,2368;1;0,383;0,849;0;0;nan;nan;nan;nan;nan;0,881;nan;0;nan
realAWSCloudwatch;grok_asg_anomaly;NO;NO;YES;NO;NO;YES;NO;NO;NO;YES;8;0,7272;0,1875;0,2727;0,2222;0,864;0,336;0,333;0,335;nan;nan;nan;nan;0,873;1;0,056;0,107
realAWSCloudwatch;iio_us-east-1_i-a2eb1cd9_NetworkIn;YES;NO;NO;NO;YES;NO;YES;YES;YES;NO;7;0,9;0,6667;1;0,8;0,938;0,66;1;0,795;nan;nan;nan;nan;0,88;0,5;0,113;0,184
realAWSCloudwatch;rds_cpu_utilization_cc0c53;NO;NO;YES;NO;NO;YES;NO;NO;NO;NO;8;0,8806;0,5556;1;0,7143;0,618;nan;0;nan;nan;nan;nan;nan;0,618;nan;0;nan
realAWSCloudwatch;rds_cpu_utilization_e47b3b;NO;NO;YES;NO;NO;YES;NO;NO;NO;NO;7;0,7164;0,2105;0,5;0,2963;0,977;0,936;0,88;0,907;nan;nan;nan;nan;0,874;nan;0;nan
realAdExchange;exchange-2_cpc_results;NO;NO;YES;NO;YES;NO;NO;YES;YES;NO;9;0,815;0,2175;1;0,2455;0,76;0;0;nan;0,794;0;0;nan;0,884;nan;0;nan
realAdExchange;exchange-2_cpm_results;NO;YES;NO;NO;YES;NO;YES;YES;NO;NO;9;0,5185;0,2352;1;0,381;0,748;0,234;0,304;0,265;0,851;nan;0;nan;0,851;nan;0;nan
realAdExchange;exchange-3_cpc_results;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;3;0,6667;0,2222;0,5;0,3076;0,723;0,156;0,325;0,211;0,734;0,164;0,325;0,218;0,886;nan;0;nan
