File Name,Length,Amount of Anomaly Points,ADF Statistic,ADF Regression,ADF p-value,ADF lags,ADF Critical Value 10%,ADF Critical Value 5%,KPSS Statistics,KPSS Regression,KPSS p-value,KPSS Critical Value 10%,KPSS Critical Value 5%
art_load_balancer_spikes_anomaly.csv,4032,0,-6.248298201558203,c,4.518893287749649e-08,31,-2.5671547755625,-2.8622628402506254,1.0689171864379008,c,0.01,0.347,0.463
art_daily_jumpsdown_anomaly.csv,4032,202,-5.991232661832864,c,1.7436715073849838e-07,15,-2.567153241895466,-2.8622599593539513,0.031045002774095717,c,0.1,0.347,0.463
art_increase_spike_density_anomaly.csv,4032,202,-12.269915695993081,c,8.687692101167218e-23,29,-2.567154583183171,-2.8622624788783146,0.009055057100336291,c,0.1,0.347,0.463
art_daily_flatmiddle_anomaly.csv,4032,238,-5.858763157354087,c,3.449916857881481e-07,13,-2.5671530510462994,-2.8622596008557037,0.03856315309096897,c,0.1,0.347,0.463
art_daily_jumpsup_anomaly.csv,4032,202,-5.90838739337223,c,2.674748786179366e-07,17,-2.5671534329349024,-2.862260318209578,0.08198901766493469,c,0.1,0.347,0.463
art_daily_nojump_anomaly.csv,4032,202,-5.798243612724722,c,4.6966808482828115e-07,14,-2.567153146447117,-2.8622597800601888,0.05821112934573597,c,0.1,0.347,0.463
art_load_balancer_spikes_anomaly.csv,4032,0,-5.4681836023832595,n,1.2186681628332125e-07,31,-1.6167537692286875,-1.9410673598246406,1.0689171864379008,c,0.01,0.347,0.463
art_daily_jumpsdown_anomaly.csv,4032,202,-3.1842746140294156,n,0.001452581298375417,15,-1.6167540324263368,-1.9410670906281093,0.031045002774095717,c,0.1,0.347,0.463
art_increase_spike_density_anomaly.csv,4032,202,-9.842539974072862,n,2.2205103264795266e-17,29,-1.6167538022431918,-1.941067326056996,0.009055057100336291,c,0.1,0.347,0.463
art_daily_flatmiddle_anomaly.csv,4032,238,-5.364329353321436,n,1.9842659533772474e-07,13,-1.6167540651790318,-1.9410670571297515,0.03856315309096897,c,0.1,0.347,0.463
art_daily_jumpsup_anomaly.csv,4032,202,-3.3387476363455892,n,0.0008561671870998506,17,-1.6167539996410865,-1.9410671241599515,0.08198901766493469,c,0.1,0.347,0.463
art_daily_nojump_anomaly.csv,4032,202,-3.150233289330026,n,0.0016280295878733017,14,-1.6167540488067507,-1.9410670738747482,0.05821112934573597,c,0.1,0.347,0.463
art_load_balancer_spikes_anomaly.csv,4032,0,-6.367680122449574,ct,3.591409362298925e-07,31,-3.1276966456621875,-3.4115881654589684,0.33523127019663423,ct,0.01,0.119,0.146
art_daily_jumpsdown_anomaly.csv,4032,202,-5.997270844336697,ct,2.2260599786842858e-06,15,-3.1276940684084322,-3.411583788051126,0.022193520912453073,ct,0.1,0.119,0.146
art_increase_spike_density_anomaly.csv,4032,202,-12.269536952165057,ct,1.4470317215761573e-19,29,-3.1276963223780543,-3.4115876163678425,0.008540749708724793,ct,0.1,0.119,0.146
art_daily_flatmiddle_anomaly.csv,4032,238,-5.851860499669753,ct,4.473436927299715e-06,13,-3.127693747695471,-3.4115832433276663,0.016175029179939765,ct,0.1,0.119,0.146
art_daily_jumpsup_anomaly.csv,4032,202,-5.905112379230091,ct,3.4689824964762927e-06,17,-3.1276943894411096,-3.411584333317689,0.027327202730843193,ct,0.1,0.119,0.146
art_daily_nojump_anomaly.csv,4032,202,-5.811586677070643,ct,5.416504513893554e-06,14,-3.127693908012017,-3.411583515621559,0.031724949732515745,ct,0.1,0.119,0.146
art_load_balancer_spikes_anomaly.csv,4032,0,-6.375187098456597,ctt,2.0407300979007886e-06,31,-3.5541752318056092,-3.8338672074731877,0.33523127019663423,ct,0.01,0.119,0.146
art_daily_jumpsdown_anomaly.csv,4032,202,-5.997527980036584,ctt,1.2958314016080786e-05,15,-3.554171584143161,-3.8338613190721422,0.022193520912453073,ct,0.1,0.119,0.146
art_increase_spike_density_anomaly.csv,4032,202,-12.27223789835675,ctt,5.708988878076784e-20,29,-3.554174774252167,-3.8338664688468,0.008540749708724793,ct,0.1,0.119,0.146
art_daily_flatmiddle_anomaly.csv,4032,238,-5.851773871431025,ctt,2.578418603626512e-05,13,-3.5541711302287147,-3.833860586321145,0.016175029179939765,ct,0.1,0.119,0.146
art_daily_jumpsup_anomaly.csv,4032,202,-5.904992416597155,ctt,2.009138192987078e-05,17,-3.554172038510103,-3.8338620525537217,0.027327202730843193,ct,0.1,0.119,0.146
art_daily_nojump_anomaly.csv,4032,202,-5.811810405072486,ctt,3.1054539930145466e-05,14,-3.5541713571294182,-3.833860952605389,0.031724949732515745,ct,0.1,0.119,0.146
