File Name,Length,Amount of Anomaly Points,ADF Statistic,ADF Regression,ADF p-value,ADF lags,ADF Critical Value 10%,ADF Critical Value 5%,KPSS Statistics,KPSS Regression,KPSS p-value,KPSS Critical Value 10%,KPSS Critical Value 5%
rogue_agent_key_updown_anomaly.csv,5315,530,-9.831793321648123,c,5.014575106628057e-17,23,-2.5670608582312475,-2.8620864187596053,0.24267083944378104,c,0.1,0.347,0.463
ambient_temperature_system_failure_anomaly.csv,7267,726,-5.517563052178544,c,1.909754729598037e-06,30,-2.566982657296559,-2.861939514358018,3.797020553336175,c,0.01,0.347,0.463
ec2_request_latency_system_failure_anomaly.csv,4032,346,-5.156198007131904,c,1.0795035969443514e-05,28,-2.5671544870656278,-2.862262298327622,0.6378917599869031,c,0.01919165818300881,0.347,0.463
cpu_utilization_asg_misconfiguration_anomaly.csv,18050,1499,-5.926239900811173,c,2.439927820973927e-07,44,-2.566855451597457,-2.8617005406987177,5.888750481177466,c,0.01,0.347,0.463
machine_temperature_system_failure_anomaly.csv,22695,2268,-7.369089564491342,c,9.07134531551817e-11,20,-2.566837854101014,-2.861667480233377,0.47248579710844446,c,0.047863559209809815,0.347,0.463
nyc_taxi_anomaly.csv,10320,1035,-10.764517454017046,c,2.472131722066544e-19,39,-2.566919676386092,-2.8618211976893573,0.418064394398016,c,0.06936879551809655,0.347,0.463
rogue_agent_key_hold_anomaly.csv,1882,190,-6.03546551431029,c,1.385482076731385e-07,9,-2.567592596439203,-2.863085177979608,0.9274312729653883,c,0.01,0.347,0.463
rogue_agent_key_updown_anomaly.csv,5315,530,-9.245573199180479,n,4.795125206705037e-16,23,-1.6167698983255496,-1.9410508854413755,0.24267083944378104,c,0.1,0.347,0.463
ambient_temperature_system_failure_anomaly.csv,7267,726,-0.3029667180423919,n,0.574918163809341,31,-1.6167833413457342,-1.9410371892886973,3.797020553336175,c,0.01,0.347,0.463
ec2_request_latency_system_failure_anomaly.csv,4032,346,-0.39680998629280156,n,0.5379895233701131,28,-1.6167538187381043,-1.9410673091858661,0.6378917599869031,c,0.01919165818300881,0.347,0.463
cpu_utilization_asg_misconfiguration_anomaly.csv,18050,1499,-1.1496236296965043,n,0.2279375335764831,44,-1.6168052569096176,-1.9410149284529974,5.888750481177466,c,0.01,0.347,0.463
machine_temperature_system_failure_anomaly.csv,22695,2268,-1.0281704231160205,n,0.27687368434549475,22,-1.616808290387164,-1.9410118537561847,0.47248579710844446,c,0.047863559209809815,0.347,0.463
nyc_taxi_anomaly.csv,10320,1035,-1.4638444147473226,n,0.13394972284148826,39,-1.616794189082468,-1.941026160217819,0.418064394398016,c,0.06936879551809655,0.347,0.463
rogue_agent_key_hold_anomaly.csv,1882,190,-2.572589131713853,n,0.009774706278257606,24,-1.6166777566730466,-1.9411456128208138,0.9274312729653883,c,0.01,0.347,0.463
rogue_agent_key_updown_anomaly.csv,5315,530,-9.84732955194709,ct,4.883006039408548e-15,23,-3.1275388192449785,-3.411320109511721,0.2022704160308965,ct,0.015148593988413816,0.119,0.146
ambient_temperature_system_failure_anomaly.csv,7267,726,-6.133961264507368,ct,1.1438281920579974e-06,27,-3.1274072513646964,-3.411096665161565,2.353721069111333,ct,0.01,0.119,0.146
ec2_request_latency_system_failure_anomaly.csv,4032,346,-5.122917523558902,ct,0.00012215869432378714,28,-3.1276961608571745,-3.41158734202814,0.3297695234811402,ct,0.01,0.119,0.146
cpu_utilization_asg_misconfiguration_anomaly.csv,18050,1499,-6.022364559630424,ct,1.971281836412488e-06,44,-3.127193616665595,-3.4107338712580146,0.8919252867630475,ct,0.01,0.119,0.146
machine_temperature_system_failure_anomaly.csv,22695,2268,-7.37019379059333,ct,2.0249545628100092e-09,20,-3.12716404133145,-3.410683649052059,0.40523790711360813,ct,0.01,0.119,0.146
nyc_taxi_anomaly.csv,10320,1035,-10.781315133756124,ct,5.874366965830326e-17,39,-3.1273015546713148,-3.4109171672585297,0.36133738273424315,ct,0.01,0.119,0.146
rogue_agent_key_hold_anomaly.csv,1882,190,-6.058726923827205,ct,1.6520130162293776e-06,9,-3.1284323200183337,-3.412837884546399,0.8744104672221755,ct,0.01,0.119,0.146
rogue_agent_key_updown_anomaly.csv,5315,530,-9.94220834815976,ctt,6.254855320716918e-15,23,-3.5539518545924014,-3.8335066253709305,0.2022704160308965,ct,0.015148593988413816,0.119,0.146
ambient_temperature_system_failure_anomaly.csv,7267,726,-8.668221305582938,ctt,7.73909405882993e-12,27,-3.553765640612132,-3.8332060557582026,2.353721069111333,ct,0.01,0.119,0.146
ec2_request_latency_system_failure_anomaly.csv,4032,346,-5.102585380740398,ctt,0.0006811022657335022,28,-3.5541745456469624,-3.8338660998105305,0.3297695234811402,ct,0.01,0.119,0.146
cpu_utilization_asg_misconfiguration_anomaly.csv,18050,1499,-5.9768075092431,ctt,1.4302817343475104e-05,44,-3.5534632709897225,-3.832718041880648,0.8919252867630475,ct,0.01,0.119,0.146
machine_temperature_system_failure_anomaly.csv,22695,2268,-7.367628271245951,ctt,1.1090945029093594e-08,20,-3.553421411024204,-3.832650485625883,0.40523790711360813,ct,0.01,0.119,0.146
nyc_taxi_anomaly.csv,10320,1035,-11.060955019970732,ctt,1.7138927125952874e-17,39,-3.5536160423623255,-3.8329646027334463,0.36133738273424315,ct,0.01,0.119,0.146
rogue_agent_key_hold_anomaly.csv,1882,190,-7.309030158288884,ctt,1.525938985252883e-08,9,-3.555216434612319,-3.835548336411163,0.8744104672221755,ct,0.01,0.119,0.146
