File Name,Length,Amount of Anomaly Points,ADF Statistic,ADF Regression,ADF p-value,ADF lags,ADF Critical Value 10%,ADF Critical Value 5%,KPSS Statistics,KPSS Regression,KPSS p-value,KPSS Critical Value 10%,KPSS Critical Value 5%
Twitter_volume_IBM_anomaly.csv,15893,1590,-11.93755480280571,c,4.624139811882084e-22,26,-2.5668669732160123,-2.8617221862485196,0.6502081651146686,c,0.01807198498957558,0.347,0.463
Twitter_volume_AAPL_anomaly.csv,15902,1588,-23.20095085153635,c,0.0,16,-2.5668668572133138,-2.8617219683159862,0.20093206982262482,c,0.1,0.347,0.463
Twitter_volume_AMZN_anomaly.csv,15831,1580,-12.834600871520715,c,5.776504693395812e-24,21,-2.5668673228973113,-2.8617228431894706,0.3170669652473919,c,0.1,0.347,0.463
Twitter_volume_FB_anomaly.csv,15833,1582,-10.371070658792119,c,2.263366834867789e-18,31,-2.5668673721773025,-2.8617229357710334,0.12178626861720654,c,0.1,0.347,0.463
Twitter_volume_UPS_anomaly.csv,15866,1585,-23.28718338981333,c,0.0,19,-2.566867095624682,-2.861722416215842,1.4659556266355311,c,0.01,0.347,0.463
Twitter_volume_CVS_anomaly.csv,15853,1526,-17.448953092812957,c,4.664323980940936e-30,22,-2.5668671937743452,-2.8617226006081253,0.4579183977220655,c,0.05219034580945454,0.347,0.463
Twitter_volume_GOOG_anomaly.csv,15842,1432,-10.603732076529857,c,6.077613473799852e-19,34,-2.5668673352126326,-2.8617228663260748,0.08459175582581273,c,0.1,0.347,0.463
Twitter_volume_KO_anomaly.csv,15851,1587,-17.675238542944655,c,3.629241380994258e-30,23,-2.566867212199502,-2.861722635223187,0.6207690014884392,c,0.020748272591960073,0.347,0.463
Twitter_volume_PFE_anomaly.csv,15858,1588,-10.492372615756098,c,1.138247324015025e-18,42,-2.5668672859700403,-2.8617227738147712,0.10681261717153907,c,0.1,0.347,0.463
Twitter_volume_CRM_anomaly.csv,15902,1593,-8.612995052068847,c,6.400625735038635e-14,42,-2.5668670160239233,-2.861722266671098,0.3315820528852594,c,0.1,0.347,0.463
Twitter_volume_IBM_anomaly.csv,15893,1590,-6.699243017291141,n,2.832011797296152e-10,32,-1.6168032642510393,-1.9410169490570524,0.6502081651146686,c,0.01807198498957558,0.347,0.463
Twitter_volume_AAPL_anomaly.csv,15902,1588,-19.480530762727014,n,0.0,20,-1.616803286367072,-1.9410169266270778,0.20093206982262482,c,0.1,0.347,0.463
Twitter_volume_AMZN_anomaly.csv,15831,1580,-3.505361534603611,n,0.0004744755584205535,35,-1.616803195424176,-1.9410170188614722,0.3170669652473919,c,0.1,0.347,0.463
Twitter_volume_FB_anomaly.csv,15833,1582,-4.392558199867792,n,1.4852754922275638e-05,43,-1.6168031890423762,-1.941017025333955,0.12178626861720654,c,0.1,0.347,0.463
Twitter_volume_UPS_anomaly.csv,15866,1585,-13.085700521265668,n,7.727600880561381e-24,43,-1.6168032240824162,-1.9410169897960956,1.4659556266355311,c,0.01,0.347,0.463
Twitter_volume_CVS_anomaly.csv,15853,1526,-11.370607683244454,n,1.2474692574382597e-20,36,-1.6168032177223688,-1.9410169962464854,0.4579183977220655,c,0.05219034580945454,0.347,0.463
Twitter_volume_GOOG_anomaly.csv,15842,1432,-5.25151718147173,n,3.352150519633576e-07,36,-1.6168032060497484,-1.9410170080849298,0.08459175582581273,c,0.1,0.347,0.463
Twitter_volume_KO_anomaly.csv,15851,1587,-9.799876370606416,n,2.7600245112784645e-17,32,-1.6168032198429203,-1.9410169940958113,0.6207690014884392,c,0.020748272591960073,0.347,0.463
Twitter_volume_PFE_anomaly.csv,15858,1588,-6.638805712227602,n,3.8523843558370337e-10,42,-1.616803216661892,-1.9410169973220266,0.10681261717153907,c,0.1,0.347,0.463
