MESS_DATUM,TT_TU
1981-01-01,1.8
1981-01-02,1.5
1981-01-03,5.33
1981-01-04,3.46
1981-01-05,0.27
1981-01-06,-1.6
1981-01-07,-5.88
1981-01-08,-10.87
1981-01-09,-6.05
1981-01-10,-3.0
1981-01-11,-0.29
1981-01-12,-2.36
1981-01-13,-2.85
1981-01-14,-5.67
1981-01-15,0.38
1981-01-16,-1.58
1981-01-17,1.04
1981-01-18,0.66
1981-01-19,0.46
1981-01-20,0.19
1981-01-21,-1.45
1981-01-22,-8.21
1981-01-23,-10.65
1981-01-24,-11.02
1981-01-25,-4.12
1981-01-26,-1.64
1981-01-27,-9.44
1981-01-28,-8.6
1981-01-29,-7.92
1981-01-30,-9.88
1981-01-31,-8.9
1981-02-01,-8.71
1981-02-02,-6.25
1981-02-03,0.0
1981-02-04,1.8
1981-02-05,0.75
1981-02-06,1.27
1981-02-07,4.7
1981-02-08,5.8
1981-02-09,3.52
1981-02-10,3.06
1981-02-11,0.59
1981-02-12,-3.72
1981-02-13,-4.07
1981-02-14,-4.05
1981-02-15,-3.32
1981-02-16,-2.83
1981-02-17,0.86
1981-02-18,-1.09
1981-02-19,-2.58
1981-02-20,-3.19
1981-02-21,-2.77
1981-02-22,-2.72
1981-02-23,-3.58
1981-02-24,-0.69
1981-02-25,-0.73
1981-02-26,1.03
1981-02-27,0.25
1981-02-28,-0.05
1981-03-01,0.48
1981-03-02,3.07
1981-03-03,3.4
1981-03-04,1.76
1981-03-05,0.72
1981-03-06,2.14
1981-03-07,8.05
1981-03-08,9.46
1981-03-09,11.67
1981-03-10,11.95
1981-03-11,14.25
1981-03-12,11.77
1981-03-13,8.32
1981-03-14,7.27
1981-03-15,5.11
1981-03-16,2.95
1981-03-17,4.46
1981-03-18,2.04
1981-03-19,3.16
1981-03-20,6.3
1981-03-21,7.54
1981-03-22,11.12
1981-03-23,9.06
1981-03-24,11.55
1981-03-25,12.65
1981-03-26,11.48
1981-03-27,7.95
1981-03-28,9.04
1981-03-29,11.33
1981-03-30,10.84
1981-03-31,12.47
1981-04-01,14.61
1981-04-02,13.63
1981-04-03,13.48
1981-04-04,8.22
1981-04-05,5.68
1981-04-06,8.29
1981-04-07,10.6
1981-04-08,11.59
1981-04-09,12.41
1981-04-10,11.12
1981-04-11,12.38
1981-04-12,12.17
1981-04-13,14.58
1981-04-14,14.39
1981-04-15,11.56
1981-04-16,7.63
1981-04-17,3.78
1981-04-18,2.12
1981-04-19,1.23
1981-04-20,5.22
1981-04-21,5.72
1981-04-22,6.08
1981-04-23,2.82
1981-04-24,3.58
1981-04-25,8.02
1981-04-26,12.2
1981-04-27,3.68
1981-04-28,4.52
1981-04-29,5.32
1981-04-30,8.24
1981-05-01,7.43
1981-05-02,5.26
1981-05-03,5.01
1981-05-04,6.58
1981-05-05,7.19
1981-05-06,7.57
1981-05-07,13.53
1981-05-08,13.44
1981-05-09,15.87
1981-05-10,19.89
1981-05-11,17.66
1981-05-12,15.18
1981-05-13,15.26
1981-05-14,14.02
1981-05-15,14.95
1981-05-16,14.08
1981-05-17,11.8
1981-05-18,12.38
1981-05-19,15.88
1981-05-20,18.42
1981-05-21,19.93
1981-05-22,15.2
1981-05-23,14.58
1981-05-24,12.45
1981-05-25,11.81
1981-05-26,12.12
1981-05-27,10.76
1981-05-28,12.51
1981-05-29,13.64
1981-05-30,16.45
1981-05-31,19.0
1981-06-01,21.12
1981-06-02,22.97
1981-06-03,22.02
1981-06-04,14.26
1981-06-05,15.45
1981-06-06,17.09
1981-06-07,18.72
1981-06-08,18.61
1981-06-09,19.68
1981-06-10,17.08
1981-06-11,17.81
1981-06-12,16.77
1981-06-13,14.08
1981-06-14,17.87
1981-06-15,22.96
1981-06-16,17.38
1981-06-17,11.63
1981-06-18,10.1
1981-06-19,9.53
1981-06-20,11.25
1981-06-21,10.91
1981-06-22,12.27
1981-06-23,15.84
1981-06-24,16.05
1981-06-25,16.23
1981-06-26,14.96
1981-06-27,17.6
1981-06-28,21.54
1981-06-29,15.15
1981-06-30,13.04
1981-07-01,16.27
1981-07-02,18.53
1981-07-03,16.52
1981-07-04,14.53
1981-07-05,16.11
1981-07-06,17.94
1981-07-07,19.7
1981-07-08,21.53
1981-07-09,21.74
1981-07-10,22.35
1981-07-11,21.0
1981-07-12,19.7
1981-07-13,17.63
1981-07-14,17.27
1981-07-15,16.45
1981-07-16,17.54
1981-07-17,15.1
1981-07-18,13.39
1981-07-19,12.77
1981-07-20,12.95
1981-07-21,14.52
1981-07-22,17.2
1981-07-23,16.79
1981-07-24,15.04
1981-07-25,13.29
1981-07-26,12.79
1981-07-27,14.81
1981-07-28,14.35
1981-07-29,17.37
1981-07-30,18.52
1981-07-31,17.16
1981-08-01,20.31
1981-08-02,21.38
1981-08-03,20.94
1981-08-04,22.08
1981-08-05,23.06
1981-08-06,22.32
1981-08-07,19.49
1981-08-08,19.22
1981-08-09,19.08
1981-08-10,16.52
1981-08-11,17.17
1981-08-12,17.98
