MESS_DATUM,TT_TU
19810101,1.8
19810102,1.5
19810103,5.33
19810104,3.46
19810105,0.27
19810106,-1.6
19810107,-5.88
19810108,-10.87
19810109,-6.05
19810110,-3.0
19810111,-0.29
19810112,-2.36
19810113,-2.85
19810114,-5.67
19810115,0.38
19810116,-1.58
19810117,1.04
19810118,0.66
19810119,0.46
19810120,0.19
19810121,-1.45
19810122,-8.21
19810123,-10.65
19810124,-11.02
19810125,-4.12
19810126,-1.64
19810127,-9.44
19810128,-8.6
19810129,-7.92
19810130,-9.88
19810131,-8.9
19810201,-8.71
19810202,-6.25
19810203,0.0
19810204,1.8
19810205,0.75
19810206,1.27
19810207,4.7
19810208,5.8
19810209,3.52
19810210,3.06
19810211,0.59
19810212,-3.72
19810213,-4.07
19810214,-4.05
19810215,-3.32
19810216,-2.83
19810217,0.86
19810218,-1.09
19810219,-2.58
19810220,-3.19
19810221,-2.77
19810222,-2.72
19810223,-3.58
19810224,-0.69
19810225,-0.73
19810226,1.03
19810227,0.25
19810228,-0.05
19810301,0.48
19810302,3.07
19810303,3.4
19810304,1.76
19810305,0.72
19810306,2.14
19810307,8.05
19810308,9.46
19810309,11.67
19810310,11.95
19810311,14.25
19810312,11.77
19810313,8.32
19810314,7.27
19810315,5.11
19810316,2.95
19810317,4.46
19810318,2.04
19810319,3.16
19810320,6.3
19810321,7.54
19810322,11.12
19810323,9.06
19810324,11.55
19810325,12.65
19810326,11.48
19810327,7.95
19810328,9.04
19810329,11.33
19810330,10.84
19810331,12.47
19810401,14.61
19810402,13.63
19810403,13.48
19810404,8.22
19810405,5.68
19810406,8.29
19810407,10.6
19810408,11.59
19810409,12.41
19810410,11.12
19810411,12.38
19810412,12.17
19810413,14.58
19810414,14.39
19810415,11.56
19810416,7.63
19810417,3.78
19810418,2.12
19810419,1.23
19810420,5.22
19810421,5.72
19810422,6.08
19810423,2.82
19810424,3.58
19810425,8.02
19810426,12.2
19810427,3.68
19810428,4.52
19810429,5.32
19810430,8.24
19810501,7.43
19810502,5.26
19810503,5.01
19810504,6.58
19810505,7.19
19810506,7.57
19810507,13.53
19810508,13.44
19810509,15.87
19810510,19.89
19810511,17.66
19810512,15.18
19810513,15.26
19810514,14.02
19810515,14.95
19810516,14.08
19810517,11.8
19810518,12.38
19810519,15.88
19810520,18.42
19810521,19.93
19810522,15.2
19810523,14.58
19810524,12.45
19810525,11.81
19810526,12.12
19810527,10.76
19810528,12.51
19810529,13.64
19810530,16.45
19810531,19.0
19810601,21.12
19810602,22.97
19810603,22.02
19810604,14.26
19810605,15.45
19810606,17.09
19810607,18.72
19810608,18.61
19810609,19.68
19810610,17.08
19810611,17.81
19810612,16.77
19810613,14.08
19810614,17.87
19810615,22.96
19810616,17.38
19810617,11.63
19810618,10.1
19810619,9.53
19810620,11.25
19810621,10.91
19810622,12.27
19810623,15.84
19810624,16.05
19810625,16.23
19810626,14.96
19810627,17.6
19810628,21.54
19810629,15.15
19810630,13.04
19810701,16.27
19810702,18.53
19810703,16.52
19810704,14.53
19810705,16.11
19810706,17.94
19810707,19.7
19810708,21.53
19810709,21.74
19810710,22.35
19810711,21.0
19810712,19.7
19810713,17.63
19810714,17.27
19810715,16.45
19810716,17.54
19810717,15.1
19810718,13.39
19810719,12.77
19810720,12.95
19810721,14.52
19810722,17.2
19810723,16.79
19810724,15.04
19810725,13.29
19810726,12.79
19810727,14.81
19810728,14.35
19810729,17.37
19810730,18.52
19810731,17.16
19810801,20.31
19810802,21.38
19810803,20.94
19810804,22.08
19810805,23.06
19810806,22.32
19810807,19.49
19810808,19.22
19810809,19.08
19810810,16.52
19810811,17.17
19810812,17.98
19810813,18.16
19810814,19.21
19810815,20.2
19810816,19.35
19810817,13.59
19810818,12.73
19810819,14.45
19810820,14.02
19810821,13.52
19810822,12.43
19810823,12.05
19810824,13.64
19810825,14.26
19810826,12.4
19810827,14.71
19810828,14.78
19810829,14.4
19810830,14.76
19810831,14.57
19810901,15.66
19810902,15.01
19810903,14.65
19810904,14.56
19810905,14.64
19810906,13.47
19810907,14.35
19810908,16.4
19810909,16.45
19810910,16.32
19810911,15.86
19810912,16.42
19810913,16.0
19810914,12.07
19810915,12.7
19810916,14.8
19810917,14.19
19810918,14.02
19810919,15.28
19810920,16.42
19810921,18.7
19810922,19.17
19810923,15.01
19810924,11.97
19810925,14.1
19810926,15.66
19810927,12.68
19810928,9.59
19810929,10.55
19810930,12.4
19811001,13.26
19811002,12.68
19811003,12.38
19811004,10.35
19811005,11.27
19811006,15.96
19811007,14.45
19811008,11.5
19811009,11.84
19811010,11.32
19811011,9.45
19811012,5.35
19811013,6.35
19811014,6.0
19811015,6.69
19811016,6.17
19811017,7.18
19811018,11.21
19811019,10.46
19811020,10.44
19811021,7.29
19811022,5.31
19811023,4.4
19811024,3.13
19811025,3.5
19811026,5.37
19811027,5.38
19811028,5.44
19811029,8.08
19811030,8.75
19811031,11.36
19811101,10.43
19811102,12.3
19811103,11.63
19811104,10.28
