MESS_DATUM,P
19810101,1015.97
19810102,1018.76
19810103,1001.56
19810104,1000.71
19810105,1014.19
19810106,1011.17
19810107,1026.65
19810108,1041.03
19810109,1034.41
19810110,1016.18
19810111,1026.13
19810112,1018.45
19810113,1012.81
19810114,1010.24
19810115,988.96
19810116,1007.22
19810117,1001.45
19810118,1012.35
19810119,1007.69
19810120,1010.28
19810121,1030.71
19810122,1035.39
19810123,1037.43
19810124,1030.5
19810125,1024.39
19810126,1032.01
19810127,1042.7
19810128,1043.89
19810129,1040.87
19810130,1039.41
19810131,1040.78
19810201,1039.52
19810202,1037.59
19810203,1012.92
19810204,994.82
19810205,1007.07
19810206,1018.76
19810207,1024.33
19810208,1024.26
19810209,1018.69
19810210,1014.09
19810211,1024.46
19810212,1020.74
19810213,1025.19
19810214,1027.12
19810215,1024.13
19810216,1026.24
19810217,1026.75
19810218,1020.38
19810219,1017.73
19810220,1017.44
19810221,1020.77
19810222,1018.07
19810223,1017.97
19810224,1020.19
19810225,1028.04
19810226,1027.65
19810227,1023.09
19810228,1015.73
19810301,1015.25
19810302,1012.36
19810303,1004.04
19810304,1010.31
19810305,1015.37
19810306,1015.08
19810307,1018.9
19810308,1014.59
19810309,1017.26
19810310,1016.53
19810311,1005.38
19810312,1002.22
19810313,1002.76
19810314,1004.77
19810315,1010.41
19810316,1011.81
19810317,1010.12
19810318,1010.66
19810319,1011.42
19810320,1009.15
19810321,1010.61
19810322,1002.94
19810323,1010.98
19810324,1008.44
19810325,1012.78
19810326,1008.43
19810327,1018.25
19810328,1013.02
19810329,1007.19
19810330,1009.77
19810331,1011.56
19810401,1009.3
19810402,1013.22
19810403,1018.92
19810404,1019.35
19810405,1019.31
19810406,1020.46
19810407,1022.01
19810408,1021.88
19810409,1025.45
19810410,1024.42
19810411,1017.17
19810412,1018.67
19810413,1021.67
19810414,1024.46
19810415,1022.87
19810416,1019.88
19810417,1022.16
19810418,1022.87
19810419,1014.78
19810420,1020.58
19810421,1022.52
19810422,1018.96
19810423,1013.09
19810424,1013.78
19810425,1009.5
19810426,1003.43
19810427,1004.35
19810428,1015.2
19810429,1016.79
19810430,1010.42
19810501,1003.35
19810502,1010.06
19810503,1010.42
19810504,997.43
19810505,1002.35
19810506,1017.33
19810507,1017.83
19810508,1011.41
19810509,1009.35
19810510,1003.91
19810511,997.87
19810512,1004.76
19810513,1006.83
19810514,1013.12
19810515,1016.44
19810516,1012.6
19810517,1015.39
19810518,1020.63
19810519,1021.31
19810520,1020.24
19810521,1017.8
19810522,1018.27
19810523,1019.2
19810524,1013.77
19810525,1010.55
19810526,1008.38
19810527,1004.13
19810528,1016.44
19810529,1016.04
19810530,1018.08
19810531,1017.28
19810601,1017.27
19810602,1015.25
19810603,1012.03
19810604,1012.55
19810605,1020.08
19810606,1017.79
19810607,1015.56
19810608,1012.66
19810609,1011.54
19810610,1020.24
19810611,1022.53
19810612,1019.88
19810613,1029.13
19810614,1022.95
19810615,1016.97
19810616,1014.0
19810617,1015.04
19810618,1016.99
19810619,1020.15
19810620,1019.25
19810621,1018.33
19810622,1021.03
19810623,1019.64
19810624,1013.86
19810625,1012.85
19810626,1009.74
19810627,1014.08
19810628,1010.26
19810629,1013.34
19810630,1019.19
19810701,1015.59
19810702,1013.07
19810703,1009.12
19810704,1020.37
19810705,1022.92
19810706,1022.05
19810707,1022.16
19810708,1018.87
19810709,1015.11
19810710,1013.19
19810711,1014.17
19810712,1017.34
19810713,1017.49
19810714,1019.38
19810715,1020.01
19810716,1016.04
19810717,1012.49
19810718,1009.8
19810719,1013.38
19810720,1015.63
19810721,1014.56
19810722,1010.93
19810723,1009.11
19810724,1014.91
19810725,1017.49
19810726,1022.82
19810727,1017.68
19810728,1021.35
19810729,1019.09
19810730,1018.74
19810731,1016.74
19810801,1012.32
19810802,1017.88
19810803,1026.81
19810804,1027.59
19810805,1021.67
19810806,1014.96
19810807,1014.49
19810808,1016.24
19810809,1014.25
19810810,1012.92
19810811,1014.9
19810812,1018.03
19810813,1019.19
19810814,1019.09
19810815,1018.1
19810816,1012.75
19810817,1022.38
19810818,1023.59
19810819,1016.74
19810820,1006.11
19810821,1011.81
19810822,1016.63
19810823,1017.93
19810824,1024.46
19810825,1027.55
19810826,1026.65
19810827,1023.65
19810828,1018.88
19810829,1014.18
19810830,1016.79
19810831,1015.79
19810901,1017.07
19810902,1022.08
19810903,1025.71
19810904,1027.41
19810905,1025.06
19810906,1025.38
19810907,1022.91
19810908,1020.1
19810909,1021.43
19810910,1017.89
19810911,1015.35
19810912,1016.14
19810913,1017.75
19810914,1020.7
19810915,1021.39
19810916,1017.26
19810917,1018.65
19810918,1014.19
19810919,1012.15
19810920,1008.71
19810921,1010.81
19810922,1011.13
19810923,1016.55
19810924,1014.21
19810925,1006.66
19810926,1004.98
19810927,1009.11
19810928,1008.91
19810929,1016.0
19810930,1021.35
19811001,1011.15
19811002,1001.04
19811003,998.82
19811004,1008.04
19811005,1013.38
19811006,1009.99
19811007,1019.49
19811008,1023.71
19811009,1014.97
19811010,1011.61
19811011,1002.74
19811012,1003.77
19811013,1010.54
19811014,1014.36
19811015,1003.97
19811016,1022.43
19811017,1020.68
19811018,1016.42
19811019,1020.37
19811020,1007.87
19811021,1008.14
19811022,1011.53
19811023,1015.69
19811024,1021.18
19811025,1013.37
19811026,1009.84
19811027,1011.64
19811028,1019.41
19811029,1016.66
19811030,1011.78
19811031,1013.87
19811101,1024.91
19811102,1023.86
19811103,1027.09
19811104,1025.31
19811105,1025.26
19811106,1027.56
19811107,1029.2
19811108,1030.02
19811109,1029.42
19811110,1033.38
19811111,1025.71
19811112,1021.73
19811113,1024.22
19811114,1025.56
19811115,1031.93
19811116,1030.78
19811117,1025.46
19811118,1022.16
19811119,1020.27
